match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,out/not_out,match_id
Afghanistan Vs Bangladesh,Afghanistan,9,Mujeeb Ur Rahman, b Mehidy Hasan Miraz,1,4,0,0,25.00,out,ODI # 4660
Afghanistan Vs Bangladesh,Afghanistan,10,Naveen-ul-Haq,c Towhid Hridoy b Shoriful Islam,0,6,0,0,0.00,out,ODI # 4660
Afghanistan Vs Bangladesh,Afghanistan,11,Fazalhaq Farooqi,,0,3,0,0,0.00,not_out,ODI # 4660
Afghanistan Vs Bangladesh,Bangladesh,1,Tanzid Hasan,run out (Najibullah Zadran),5,13,1,0,38.46,out,ODI # 4660
Afghanistan Vs Bangladesh,Bangladesh,2,Litton Das, b Fazalhaq Farooqi,13,18,2,0,72.22,out,ODI # 4660
Afghanistan Vs Bangladesh,Bangladesh,3,Mehidy Hasan Miraz,c Rahmat Shah b Naveen-ul-Haq,57,73,5,0,78.08,out,ODI # 4660
Afghanistan Vs Bangladesh,Bangladesh,4,Najmul Hossain Shanto,,59,83,3,1,71.08,not_out,ODI # 4660
Afghanistan Vs Bangladesh,Bangladesh,5,Shakib Al Hasan(c),c Fazalhaq Farooqi b Azmatullah Omarzai,14,19,2,0,73.68,out,ODI # 4660
Afghanistan Vs Bangladesh,Bangladesh,6,Mushfiqur Rahim†,,2,3,0,0,66.66,not_out,ODI # 4660
Pakistan Vs Netherlands,Pakistan,1,Fakhar Zaman,c & b van Beek,12,15,3,0,80.00,out,ODI # 4659
Pakistan Vs Netherlands,Pakistan,2,Imam-ul-Haq,c Dutt b van Meekeren,15,19,2,0,78.94,out,ODI # 4659
Pakistan Vs Netherlands,Pakistan,3,Babar Azam(c),c Saqib Zulfiqar b Ackermann,5,18,0,0,27.77,out,ODI # 4659
Pakistan Vs Netherlands,Pakistan,4,Mohammad Rizwan†, b de Leede,68,75,8,0,90.66,out,ODI # 4659
Pakistan Vs Netherlands,Pakistan,5,Saud Shakeel,c Saqib Zulfiqar b Dutt,68,52,9,1,130.76,out,ODI # 4659
Pakistan Vs Netherlands,Pakistan,6,Iftikhar Ahmed,c †Edwards b de Leede,9,11,1,0,81.81,out,ODI # 4659
Pakistan Vs Netherlands,Pakistan,7,Mohammad Nawaz,run out (van Meekeren/Ackermann),39,43,4,0,90.69,out,ODI # 4659
Pakistan Vs Netherlands,Pakistan,8,Shadab Khan, b de Leede,32,34,2,1,94.11,out,ODI # 4659
Pakistan Vs Netherlands,Pakistan,9,Hasan Ali,lbw b de Leede,0,1,0,0,0.00,out,ODI # 4659
Pakistan Vs Netherlands,Pakistan,10,Shaheen Shah Afridi,,13,12,2,0,108.33,not_out,ODI # 4659
Pakistan Vs Netherlands,Pakistan,11,Haris Rauf,st †Edwards b Ackermann,16,14,2,1,114.28,out,ODI # 4659
Pakistan Vs Netherlands,Netherlands,1,Vikramjit Singh,c Fakhar Zaman b Shadab Khan,52,67,4,1,77.61,out,ODI # 4659
Pakistan Vs Netherlands,Netherlands,2,Max O'Dowd,c Shaheen Shah Afridi b Hasan Ali,5,12,1,0,41.66,out,ODI # 4659
Pakistan Vs Netherlands,Netherlands,3,Colin Ackermann, b Iftikhar Ahmed,17,21,3,0,80.95,out,ODI # 4659
Pakistan Vs Netherlands,Netherlands,4,Bas de Leede, b Mohammad Nawaz,67,68,6,2,98.52,out,ODI # 4659
Pakistan Vs Netherlands,Netherlands,5,Teja Nidamanuru,c Fakhar Zaman b Haris Rauf,5,9,1,0,55.55,out,ODI # 4659
Pakistan Vs Netherlands,Netherlands,6,Scott Edwards(c)†,lbw b Haris Rauf,0,2,0,0,0.00,out,ODI # 4659
Pakistan Vs Netherlands,Netherlands,7,Saqib Zulfiqar,lbw b Shaheen Shah Afridi,10,18,1,0,55.55,out,ODI # 4659
Pakistan Vs Netherlands,Netherlands,8,Roelof van der Merwe,run out (Babar Azam/†Mohammad Rizwan),4,7,0,0,57.14,out,ODI # 4659
Pakistan Vs Netherlands,Netherlands,9,Logan van Beek,,28,28,3,1,100.00,not_out,ODI # 4659
Pakistan Vs Netherlands,Netherlands,10,Aryan Dutt, b Hasan Ali,1,2,0,0,50.00,out,ODI # 4659
Pakistan Vs Netherlands,Netherlands,11,Paul van Meekeren, b Haris Rauf,7,12,1,0,58.33,out,ODI # 4659
England Vs New Zealand,England,1,Jonny Bairstow,c Mitchell b Santner,33,35,4,1,94.28,out,ODI # 4658
England Vs New Zealand,England,2,Dawid Malan,c †Latham b Henry,14,24,2,0,58.33,out,ODI # 4658
England Vs New Zealand,England,3,Joe Root, b Phillips,77,86,4,1,89.53,out,ODI # 4658
England Vs New Zealand,England,4,Harry Brook,c Conway b Ravindra,25,16,4,1,156.25,out,ODI # 4658
England Vs New Zealand,England,5,Moeen Ali, b Phillips,11,17,1,0,64.70,out,ODI # 4658
England Vs New Zealand,England,6,Jos Buttler(c)†,c †Latham b Henry,43,42,2,2,102.38,out,ODI # 4658
England Vs New Zealand,England,7,Liam Livingstone,c Henry b Boult,20,22,3,0,90.90,out,ODI # 4658
England Vs New Zealand,England,8,Sam Curran,c †Latham b Henry,14,19,0,0,73.68,out,ODI # 4658
England Vs New Zealand,England,9,Chris Woakes,c Young b Santner,11,12,1,0,91.66,out,ODI # 4658
England Vs New Zealand,England,10,Adil Rashid,,15,13,0,1,115.38,not_out,ODI # 4658
England Vs New Zealand,England,11,Mark Wood,,13,14,0,0,92.85,not_out,ODI # 4658
England Vs New Zealand,New Zealand,1,Devon Conway,,152,121,19,3,125.61,not_out,ODI # 4658
England Vs New Zealand,New Zealand,2,Will Young,c †Buttler b Curran,0,1,0,0,0.00,out,ODI # 4658
England Vs New Zealand,New Zealand,3,Rachin Ravindra,,123,96,11,5,128.12,not_out,ODI # 4658
